id,tool,correctness,project,bug,base_dir,main_dep,tests_build,tests_src_dir,target_test,target_test_methods,target_class,input_class
Math_82_Avatar_Patch_6969131_1421.diff,Avatar,Correct,Math,82,Math/82,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMath288,org.apache.commons.math.optimization.linear.SimplexSolver,double
Closure_62_Avatar_Patch_136255_1.diff,Avatar,Correct,Closure,62,Closure/62,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.LightweightMessageFormatterTest,testFormatErrorSpaceEndOfLine1,com.google.javascript.jscomp.LightweightMessageFormatter,java.lang.String
Chart_1_TBar_Patch_21045539_2722_cp1167.diff,TBar,Correct,Chart,1,Chart/1,build,build-tests,tests,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,test2947660,org.jfree.chart.renderer.category.LineAndShapeRenderer,java.lang.String
Closure_126_dynamoth_patch_78445_3.diff,dynamoth,Correct,Closure,126,Closure/126,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
Math_34_FixMiner_Patch_274107_18.diff,FixMiner,Correct,Math,34,Math/34,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.genetics.ListPopulationTest,testIterator,org.apache.commons.math3.genetics.ListPopulation,int
Math_82_TBar_Patch_13532544_2531_cp1209.diff,TBar,Correct,Math,82,Math/82,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMath288,org.apache.commons.math.optimization.linear.SimplexSolver,double
Math_5_TBar_Patch_4138058_63_cp58.diff,TBar,Correct,Math,5,Math/5,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.complex.ComplexTest,testReciprocalZero,org.apache.commons.math3.complex.Complex,double
Time_7_kPAR_Patch_1598706_221_cp100.diff,kPAR,Correct,Time,7,Time/7,target/classes,target/test-classes,src/test/java,org.joda.time.format.TestDateTimeFormatter,testParseInto_monthDay_feb29_newYork_startOfYear,org.joda.time.format.DateTimeParserBucket,int
Math_50_kPAR_Patch_3212488_112_cp91.diff,kPAR,Correct,Math,50,Math/50,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest,testIssue631,org.apache.commons.math.analysis.solvers.BaseSecantSolver,int
Lang_57_FixMiner_Patch_224857_43.diff,FixMiner,Correct,Lang,57,Lang/57,target/classes,target/tests,src/test,org.apache.commons.lang.LocaleUtilsTest,testLanguagesByCountry,org.apache.commons.lang.LocaleUtils,java.lang.String
Chart_7_SimFix_patch_1414670_1.diff,SimFix,Correct,Chart,7,Chart/7,build,build-tests,tests,org.jfree.data.time.junit.TimePeriodValuesTests,testGetMaxMiddleIndex,org.jfree.data.time.TimePeriodValues,long
Lang_10_Avatar_Patch_16831934_2478.diff,Avatar,Correct,Lang,10,Lang/10,target/classes,target/test-classes,src/test,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831,org.apache.commons.lang3.time.FastDateParser,java.lang.String
Closure_62_SimFix_patch_4083698_4.diff,SimFix,Correct,Closure,62,Closure/62,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.LightweightMessageFormatterTest,testFormatErrorSpaceEndOfLine1,com.google.javascript.jscomp.LightweightMessageFormatter,java.lang.String
Math_34_FixMiner_Patch_90578_2.diff,FixMiner,Correct,Math,34,Math/34,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.genetics.ListPopulationTest,testIterator,org.apache.commons.math3.genetics.ListPopulation,int
Closure_126_jGenProg_patch_1668000_2546.diff,jGenProg,Correct,Closure,126,Closure/126,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
Chart_4_TBar_Patch_12801465_2078_cp982.diff,TBar,Correct,Chart,4,Chart/4,build,build-tests,tests,org.jfree.chart.plot.junit.XYPlotTests,testDrawRangeGridlines,org.jfree.chart.plot.XYPlot,int
Time_7_SimFix_patch_878305_1.diff,SimFix,Correct,Time,7,Time/7,target/classes,target/test-classes,src/test/java,org.joda.time.format.TestDateTimeFormatter,testParseInto_monthDay_feb29_newYork_startOfYear,org.joda.time.format.DateTimeParserBucket,int
Closure_46_Avatar_Patch_459948_13.diff,Avatar,Correct,Closure,46,Closure/46,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType2,com.google.javascript.rhino.jstype.RecordTypeBuilder,java.lang.String
Chart_8_TBar_Patch_23495_1_cp1.diff,TBar,Correct,Chart,8,Chart/8,build,build-tests,tests,org.jfree.data.time.junit.WeekTests,testConstructor,org.jfree.data.time.junit.Week,java.lang.String
Closure_126_jGenProg_patch_771000_1116.diff,jGenProg,Correct,Closure,126,Closure/126,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
Math_59_Avatar_Patch_301850_15.diff,Avatar,Correct,Math,59,Math/59,target/classes,target/test-classes,src/test/java,org.apache.commons.math.util.FastMathTest,testMinMaxFloat,org.apache.commons.math.util.FastMath,float
Math_70_FixMiner_Patch_104934_23.diff,FixMiner,Correct,Math,70,Math/70,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.BisectionSolverTest,testMath369,org.apache.commons.math.analysis.solvers.BisectionSolver,double
Lang_55_dynamoth_patch_135412_1.diff,dynamoth,Correct,Lang,55,Lang/55,target/classes,target/test-classes,src/test,org.apache.commons.lang.time.StopWatchTest,testLang315,org.apache.commons.lang.time.StopWatch,int
Lang_55_dynamoth_patch_135415_2.diff,dynamoth,Correct,Lang,55,Lang/55,target/classes,target/test-classes,src/test,org.apache.commons.lang.time.StopWatchTest,testLang315,org.apache.commons.lang.time.StopWatch,int
Chart_11_TBar_Patch_2522058_225_cp174.diff,TBar,Correct,Chart,11,Chart/11,build,build-tests,tests,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPaths,org.jfree.chart.util.ShapeUtilities,float
Math_85_FixMiner_Patch_26879305_367.diff,FixMiner,Correct,Math,85,Math/85,target/classes,target/test-classes,src/test,org.apache.commons.math.distribution.NormalDistributionTest,testMath280,org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils,double
Math_50_kPAR_Patch_3610486_124_cp103.diff,kPAR,Correct,Math,50,Math/50,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest,testIssue631,org.apache.commons.math.analysis.solvers.BaseSecantSolver,int
Lang_43_SimFix_patch_1529136_2.diff,SimFix,Correct,Lang,43,Lang/43,target/classes,target/test-classes,src/test,org.apache.commons.lang.text.ExtendedMessageFormatTest,testBuiltInDateTimeFormat,org.apache.commons.lang.text.ExtendedMessageFormat,int
Math_50_kPAR_Patch_3344204_116_cp95.diff,kPAR,Correct,Math,50,Math/50,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest,testIssue631,org.apache.commons.math.analysis.solvers.BaseSecantSolver,int
Chart_24_FixMiner_Patch_83379_29.diff,FixMiner,Correct,Chart,24,Chart/24,build,build-tests,tests,org.jfree.chart.renderer.junit.GrayPaintScaleTests,testGetPaint,org.jfree.chart.renderer.GrayPaintScale,double
Math_75_FixMiner_Patch_2367936_1362.diff,FixMiner,Correct,Math,75,Math/75,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.FrequencyTest,testPcts,org.apache.commons.math.stat.Frequency,long
Chart_1_jMutRepair_patch_18000_39.diff,jMutRepair,Correct,Chart,1,Chart/1,build,build-tests,tests,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,test2947660,org.jfree.chart.renderer.category.LineAndShapeRenderer,java.lang.String
Closure_46_Avatar_Patch_347475_11.diff,Avatar,Correct,Closure,46,Closure/46,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType2,com.google.javascript.rhino.jstype.RecordTypeBuilder,java.lang.String
Math_59_SimFix_patch_64680_1.diff,SimFix,Correct,Math,59,Math/59,target/classes,target/test-classes,src/test/java,org.apache.commons.math.util.FastMathTest,testMinMaxFloat,org.apache.commons.math.util.FastMath,float
Lang_10_Avatar_Patch_16808737_2460.diff,Avatar,Correct,Lang,10,Lang/10,target/classes,target/test-classes,src/test,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831,org.apache.commons.lang3.time.FastDateParser,java.lang.String
Closure_46_Avatar_Patch_515962_14.diff,Avatar,Correct,Closure,46,Closure/46,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType2,com.google.javascript.rhino.jstype.RecordTypeBuilder,java.lang.String
Closure_62_TBar_Patch_494019_8_cp8.diff,TBar,Correct,Closure,62,Closure/62,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.LightweightMessageFormatterTest,testFormatErrorSpaceEndOfLine1,com.google.javascript.jscomp.LightweightMessageFormatter,java.lang.String
Time_7_TBar_Patch_13432881_2274_cp497.diff,TBar,Correct,Time,7,Time/7,target/classes,target/test-classes,src/test/java,org.joda.time.format.TestDateTimeFormatter,testParseInto_monthDay_feb29_newYork_startOfYear,org.joda.time.format.DateTimeParserBucket,int
Closure_126_jGenProg_patch_227000_308.diff,jGenProg,Correct,Closure,126,Closure/126,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
Math_30_FixMiner_Patch_618966_113.diff,FixMiner,Correct,Math,30,Math/30,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,double
Closure_86_TBar_Patch_126225_2_cp2.diff,TBar,Correct,Closure,86,Closure/86,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.NodeUtilTest,testLocalValue1,com.google.javascript.jscomp.NodeUtil,java.lang.String
Lang_55_dynamoth_patch_135425_8.diff,dynamoth,Correct,Lang,55,Lang/55,target/classes,target/test-classes,src/test,org.apache.commons.lang.time.StopWatchTest,testLang315,org.apache.commons.lang.time.StopWatch,int
Chart_20_TBar_Patch_8786950_2305_cp765.diff,TBar,Correct,Chart,20,Chart/20,build,build-tests,tests,org.jfree.chart.plot.junit.ValueMarkerTests,test1808376,org.jfree.chart.plot.ValueMarker,int
Closure_126_jGenProg_patch_2133000_3122.diff,jGenProg,Correct,Closure,126,Closure/126,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
Chart_4_TBar_Patch_12852974_2084_cp986.diff,TBar,Correct,Chart,4,Chart/4,build,build-tests,tests,org.jfree.chart.plot.junit.XYPlotTests,testDrawRangeGridlines,org.jfree.chart.plot.XYPlot,int
Closure_73_Avatar_Patch_2395147_180.diff,Avatar,Correct,Closure,73,Closure/73,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.CodePrinterTest,testUnicode,com.google.javascript.jscomp.Compiler,java.lang.String
Math_50_kPAR_Patch_2782940_99_cp78.diff,kPAR,Correct,Math,50,Math/50,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest,testIssue631,org.apache.commons.math.analysis.solvers.BaseSecantSolver,int
Math_30_TBar_Patch_2595482_148_cp70.diff,TBar,Correct,Math,30,Math/30,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,double
Lang_59_kPAR_Patch_34030_1_cp1.diff,kPAR,Correct,Lang,59,Lang/59,target/classes,target/tests,src/test,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testLang299,org.apache.commons.lang.text.StrBuilder,java.lang.String
Math_70_FixMiner_Patch_35277_4.diff,FixMiner,Correct,Math,70,Math/70,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.BisectionSolverTest,testMath369,org.apache.commons.math.analysis.solvers.BisectionSolver,double
Mockito_38_TBar_Patch_211019_30_cp11.diff,TBar,Correct,Mockito,38,Mockito/38,target/classes:lib/test/*:lib/sources/*:lib/repackaged/*:lib/run/*,target/test-classes,test,org.mockito.internal.verification.argumentmatching.ArgumentMatchingToolTest,shouldWorkFineWhenGivenArgIsNull,org.mockito.internal.matchers.Equals,int
Lang_58_SimFix_patch_16215_1.diff,SimFix,Correct,Lang,58,Lang/58,target/classes,target/test-classes,src/test,org.apache.commons.lang.math.NumberUtilsTest,testLang300,org.apache.commons.lang.math.NumberUtils,java.lang.String
Closure_62_SimFix_patch_3253994_1.diff,SimFix,Correct,Closure,62,Closure/62,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.LightweightMessageFormatterTest,testFormatErrorSpaceEndOfLine1,com.google.javascript.jscomp.LightweightMessageFormatter,java.lang.String
Closure_73_SimFix_patch_73123_1.diff,SimFix,Correct,Closure,73,Closure/73,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.CodePrinterTest,testUnicode,com.google.javascript.jscomp.Compiler,java.lang.String
Chart_4_FixMiner_Patch_6041512_1612.diff,FixMiner,Correct,Chart,4,Chart/4,build,build-tests,tests,org.jfree.chart.plot.junit.XYPlotTests,testDrawRangeGridlines,org.jfree.chart.plot.XYPlot,int
Lang_59_FixMiner_Patch_243478_103.diff,FixMiner,Correct,Lang,59,Lang/59,target/classes,target/tests,src/test,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testLang299,org.apache.commons.lang.text.StrBuilder,java.lang.String
Mockito_29_TBar_Patch_893152_100_cp45.diff,TBar,Correct,Mockito,29,Mockito/29,target/classes:lib/test/*:lib/sources/*:lib/repackaged/*:lib/run/*,target/test-classes,test,org.mockitousage.bugs.NPEWithCertainMatchersTest,shouldNotThrowNPEWhenNullPassedToSame,org.mockito.internal.matchers.Same,java.lang.String
Math_33_SimFix_patch_834502_2.diff,SimFix,Correct,Math,33,Math/33,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.optimization.linear.SimplexSolverTest,testMath781,org.apache.commons.math3.optimization.linear.SimplexTableau,double
Lang_57_Avatar_Patch_23805_2.diff,Avatar,Correct,Lang,57,Lang/57,target/classes,target/tests,src/test,org.apache.commons.lang.LocaleUtilsTest,testLanguagesByCountry,org.apache.commons.lang.LocaleUtils,java.lang.String
Lang_57_TBar_Patch_189085_37_cp17.diff,TBar,Correct,Lang,57,Lang/57,target/classes,target/tests,src/test,org.apache.commons.lang.LocaleUtilsTest,testLanguagesByCountry,org.apache.commons.lang.LocaleUtils,java.lang.String
Mockito_38_TBar_Patch_181808_28_cp9.diff,TBar,Correct,Mockito,38,Mockito/38,target/classes:lib/test/*:lib/sources/*:lib/repackaged/*:lib/run/*,target/test-classes,test,org.mockito.internal.verification.argumentmatching.ArgumentMatchingToolTest,shouldWorkFineWhenGivenArgIsNull,org.mockito.internal.matchers.Equals,int
Lang_59_FixMiner_Patch_29029_20.diff,FixMiner,Correct,Lang,59,Lang/59,target/classes,target/tests,src/test,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testLang299,org.apache.commons.lang.text.StrBuilder,java.lang.String
Chart_1_SimFix_patch_1598853_1.diff,SimFix,Correct,Chart,1,Chart/1,build,build-tests,tests,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,test2947660,org.jfree.chart.renderer.category.LineAndShapeRenderer,java.lang.String
Math_57_SimFix_patch_233452_1.diff,SimFix,Correct,Math,57,Math/57,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest,testSmallDistances,org.apache.commons.math.stat.clustering.EuclideanIntegerPoint,int
Lang_33_TBar_Patch_280845_47_cp28.diff,TBar,Correct,Lang,33,Lang/33,target/classes,target/test-classes,src/test,org.apache.commons.lang3.ClassUtilsTest,testToClass_object,org.apache.commons.lang3.ClassUtils,java.lang.String
Chart_11_Avatar_Patch_4534073_355.diff,Avatar,Correct,Chart,11,Chart/11,build,build-tests,tests,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPaths,org.jfree.chart.util.ShapeUtilities,float
Math_11_TBar_Patch_5556207_178_cp85.diff,TBar,Correct,Math,11,Math/11,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest,testUnivariateDistribution,org.apache.commons.math3.distribution.MultivariateNormalDistribution,double
Math_53_SimFix_patch_41203_1.diff,SimFix,Correct,Math,53,Math/53,target/classes,target/test-classes,src/test/java,org.apache.commons.math.complex.ComplexTest,testAddNaN,org.apache.commons.math.complex.Complex,double
Chart_24_TBar_Patch_83655_103_cp3.diff,TBar,Correct,Chart,24,Chart/24,build,build-tests,tests,org.jfree.chart.renderer.junit.GrayPaintScaleTests,testGetPaint,org.jfree.chart.renderer.GrayPaintScale,double
Math_79_SimFix_patch_1032079_1.diff,SimFix,Correct,Math,79,Math/79,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest,testPerformClusterAnalysisDegenerate,org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer,int
Closure_126_jKali_patch_54000_21.diff,jKali,Correct,Closure,126,Closure/126,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
Math_33_SimFix_patch_1210647_3.diff,SimFix,Correct,Math,33,Math/33,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.optimization.linear.SimplexSolverTest,testMath781,org.apache.commons.math3.optimization.linear.SimplexTableau,double
Closure_126_jKali_patch_77000_23.diff,jKali,Correct,Closure,126,Closure/126,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
Math_65_TBar_Patch_1866357_309_cp191.diff,TBar,Correct,Math,65,Math/65,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest,testCircleFitting,org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer,double
Lang_57_TBar_Patch_198912_38_cp18.diff,TBar,Correct,Lang,57,Lang/57,target/classes,target/tests,src/test,org.apache.commons.lang.LocaleUtilsTest,testLanguagesByCountry,org.apache.commons.lang.LocaleUtils,java.lang.String
Lang_43_SimFix_patch_35321_1.diff,SimFix,Correct,Lang,43,Lang/43,target/classes,target/test-classes,src/test,org.apache.commons.lang.text.ExtendedMessageFormatTest,testBuiltInDateTimeFormat,org.apache.commons.lang.text.ExtendedMessageFormat,int
Time_7_Avatar_Patch_8852445_1134.diff,Avatar,Correct,Time,7,Time/7,target/classes,target/test-classes,src/test/java,org.joda.time.format.TestDateTimeFormatter,testParseInto_monthDay_feb29_newYork_startOfYear,org.joda.time.format.DateTimeParserBucket,int
Math_11_TBar_Patch_5683418_180_cp87.diff,TBar,Correct,Math,11,Math/11,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest,testUnivariateDistribution,org.apache.commons.math3.distribution.MultivariateNormalDistribution,double
Closure_126_jGenProg_patch_973000_1444.diff,jGenProg,Correct,Closure,126,Closure/126,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
Chart_20_SimFix_patch_48210_1.diff,SimFix,Correct,Chart,20,Chart/20,build,build-tests,tests,org.jfree.chart.plot.junit.ValueMarkerTests,test1808376,org.jfree.chart.plot.ValueMarker,int
Chart_4_FixMiner_Patch_6054119_1613.diff,FixMiner,Correct,Chart,4,Chart/4,build,build-tests,tests,org.jfree.chart.plot.junit.XYPlotTests,testDrawRangeGridlines,org.jfree.chart.plot.XYPlot,int
Math_30_FixMiner_Patch_546814_111.diff,FixMiner,Correct,Math,30,Math/30,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,double
Closure_46_jGenProg_patch_8789000_17918.diff,jGenProg,Correct,Closure,46,Closure/46,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType2,com.google.javascript.rhino.jstype.RecordTypeBuilder,java.lang.String
Closure_62_jMutRepair_patch_5000_15.diff,jMutRepair,Correct,Closure,62,Closure/62,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.LightweightMessageFormatterTest,testFormatErrorSpaceEndOfLine1,com.google.javascript.jscomp.LightweightMessageFormatter,java.lang.String
Chart_4_TBar_Patch_12826885_2080_cp984.diff,TBar,Correct,Chart,4,Chart/4,build,build-tests,tests,org.jfree.chart.plot.junit.XYPlotTests,testDrawRangeGridlines,org.jfree.chart.plot.XYPlot,int
Math_33_SimFix_patch_189503_1.diff,SimFix,Correct,Math,33,Math/33,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.optimization.linear.SimplexSolverTest,testMath781,org.apache.commons.math3.optimization.linear.SimplexTableau,double
Math_50_kPAR_Patch_2715069_97_cp76.diff,kPAR,Correct,Math,50,Math/50,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest,testIssue631,org.apache.commons.math.analysis.solvers.BaseSecantSolver,int
Math_82_jMutRepair_patch_9000_37.diff,jMutRepair,Correct,Math,82,Math/82,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMath288,org.apache.commons.math.optimization.linear.SimplexSolver,double
Math_34_TBar_Patch_72268_1_cp1.diff,TBar,Correct,Math,34,Math/34,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.genetics.ListPopulationTest,testIterator,org.apache.commons.math3.genetics.ListPopulation,int
Mockito_38_Avatar_Patch_89137_10.diff,Avatar,Correct,Mockito,38,Mockito/38,target/classes:lib/test/*:lib/sources/*:lib/repackaged/*:lib/run/*,target/test-classes,test,org.mockito.internal.verification.argumentmatching.ArgumentMatchingToolTest,shouldWorkFineWhenGivenArgIsNull,org.mockito.internal.matchers.Equals,int
Math_5_TBar_Patch_4069754_62_cp57.diff,TBar,Correct,Math,5,Math/5,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.complex.ComplexTest,testReciprocalZero,org.apache.commons.math3.complex.Complex,double
Math_89_Avatar_Patch_47337_6.diff,Avatar,Correct,Math,89,Math/89,target/classes,target/test-classes,src/test,org.apache.commons.math.stat.FrequencyTest,testAddNonComparable,org.apache.commons.math.stat.Frequency,int
Closure_46_jKali_patch_6000_15.diff,jKali,Correct,Closure,46,Closure/46,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType2,com.google.javascript.rhino.jstype.RecordTypeBuilder,java.lang.String
Closure_126_jGenProg_patch_1491000_2306.diff,jGenProg,Correct,Closure,126,Closure/126,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
Closure_126_jGenProg_patch_2470000_3528.diff,jGenProg,Correct,Closure,126,Closure/126,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
Math_89_kPAR_Patch_110348_12_cp11.diff,kPAR,Correct,Math,89,Math/89,target/classes,target/test-classes,src/test,org.apache.commons.math.stat.FrequencyTest,testAddNonComparable,org.apache.commons.math.stat.Frequency,int
Closure_2_TBar_Patch_4086041_109_cp52.diff,TBar,Correct,Closure,2,Closure/2,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.TypeCheckTest,testBadInterfaceExtendsNonExistentInterfaces,com.google.javascript.jscomp.TypeCheck,java.lang.String
Math_50_kPAR_Patch_2680735_96_cp75.diff,kPAR,Correct,Math,50,Math/50,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest,testIssue631,org.apache.commons.math.analysis.solvers.BaseSecantSolver,int
