patch_name,correctness,prediction
Math_85_TBar_Patch_9159968_968_cp728.diff,overfitting,correct
Closure_46_jKali_patch_106000_208.diff,overfitting,correct
Chart_7_kPAR_Patch_2729664_371_cp188.diff,overfitting,correct
Lang_59_jGenProg_patch_24000_146.diff,overfitting,correct
Math_85_TBar_Patch_9491709_1010_cp770.diff,overfitting,correct
Math_58_dynamoth_patch_97067_7.diff,overfitting,correct
Chart_1_TBar_Patch_21147222_2729_cp1173.diff,overfitting,correct
Math_33_dynamoth_patch_252141_8.diff,overfitting,correct
Math_85_TBar_Patch_9041083_953_cp713.diff,overfitting,correct
Math_82_TBar_Patch_12703209_2421_cp1108.diff,overfitting,correct
Math_33_Avatar_Patch_18922173_944.diff,overfitting,correct
Math_33_Avatar_Patch_18704399_939.diff,overfitting,correct
Math_20_Nopol_patch_274583_1.diff,overfitting,correct
Math_82_Avatar_Patch_6634640_1354.diff,overfitting,correct
Math_85_TBar_Patch_10143617_1088_cp848.diff,overfitting,correct
Chart_7_Avatar_Patch_44740_6.diff,overfitting,correct
Math_33_Avatar_Patch_17877320_912.diff,overfitting,overfitting
Lang_59_jGenProg_patch_1431676_10624.diff,overfitting,overfitting
Math_49_Nopol_patch_113660_2.diff,overfitting,correct
Chart_7_kPAR_Patch_3774307_505_cp261.diff,overfitting,correct
Lang_59_jGenProg_patch_278000_2236.diff,overfitting,correct
Math_58_dynamoth_patch_97065_6.diff,overfitting,correct
Lang_55_dynamoth_patch_135426_9.diff,overfitting,correct
Lang_59_jGenProg_patch_1220081_9102.diff,overfitting,overfitting
Math_33_Avatar_Patch_19399100_965.diff,overfitting,correct
Chart_1_kPAR_Patch_5270540_841_cp289.diff,overfitting,correct
Chart_25_dynamoth_patch_24939_4.diff,overfitting,correct
Lang_33_TBar_Patch_290123_48_cp29.diff,overfitting,correct
Math_33_dynamoth_patch_4236234_19.diff,overfitting,correct
Chart_7_TBar_Patch_8750344_1059_cp779.diff,overfitting,correct
Math_82_jGenProg_patch_5387000_14652.diff,overfitting,correct
Math_33_dynamoth_patch_4236229_17.diff,overfitting,correct
Math_58_dynamoth_patch_97060_4.diff,overfitting,correct
Math_58_dynamoth_patch_127804_11.diff,overfitting,correct
Chart_25_TBar_Patch_121343_58_cp8.diff,overfitting,correct
Closure_46_jKali_patch_135000_216.diff,overfitting,correct
Math_85_FixMiner_Patch_26989598_391.diff,overfitting,correct
Lang_59_kPAR_Patch_415734_53_cp35.diff,overfitting,correct
Math_33_Avatar_Patch_19009329_946.diff,overfitting,correct
Chart_7_kPAR_Patch_2827929_381_cp195.diff,overfitting,correct
Lang_59_jGenProg_patch_756179_5652.diff,overfitting,correct
Chart_1_TBar_Patch_21164307_2730_cp1174.diff,overfitting,correct
Lang_59_jGenProg_patch_929890_6932.diff,overfitting,correct
Closure_46_jKali_patch_97000_207.diff,overfitting,correct
Math_82_TBar_Patch_12886946_2443_cp1130.diff,overfitting,correct
Math_33_Avatar_Patch_17920021_913.diff,overfitting,correct
Lang_57_kPAR_Patch_91311_7_cp6.diff,overfitting,correct
Math_58_Nopol_patch_110446_1.diff,overfitting,correct
Math_33_Avatar_Patch_18443682_933.diff,overfitting,correct
Lang_10_Avatar_Patch_330822_117.diff,overfitting,overfitting
Chart_7_Avatar_Patch_3878544_662.diff,overfitting,correct
Lang_55_dynamoth_patch_135423_7.diff,overfitting,correct
Chart_1_TBar_Patch_21112558_2726_cp1171.diff,overfitting,correct
Chart_7_jGenProg_patch_107000_1016.diff,overfitting,overfitting
Math_33_Avatar_Patch_18835651_942.diff,overfitting,correct
Chart_25_jGenProg_patch_2955000_6070.diff,overfitting,correct
Math_85_TBar_Patch_9738327_1040_cp800.diff,overfitting,correct
Lang_10_Avatar_Patch_17677028_2890.diff,overfitting,overfitting
Math_33_Avatar_Patch_19094664_948.diff,overfitting,correct
Math_82_jMutRepair_patch_15000_45.diff,overfitting,correct
Math_33_Avatar_Patch_19225749_959.diff,overfitting,correct
Chart_9_Nopol_patch_23206_10.diff,overfitting,correct
Mockito_29_TBar_Patch_946442_104_cp48.diff,overfitting,correct
Math_105_Nopol_patch_17814_2.diff,overfitting,correct
Math_82_Avatar_Patch_7061702_1439.diff,overfitting,correct
Math_33_Avatar_Patch_19313313_963.diff,overfitting,correct
Chart_1_dynamoth_patch_122498_2.diff,overfitting,correct
Math_58_Nopol_patch_112102_2.diff,overfitting,correct
Chart_7_Avatar_Patch_4004534_698.diff,overfitting,correct
Math_58_dynamoth_patch_132002_13.diff,overfitting,overfitting
Chart_13_TBar_Patch_9122521_1376_cp616.diff,overfitting,correct
Math_33_dynamoth_patch_4236212_12.diff,overfitting,correct
Math_41_dynamoth_patch_771199_21.diff,overfitting,correct
Math_85_TBar_Patch_10246200_1101_cp861.diff,overfitting,correct
Math_49_Avatar_Patch_61645_15.diff,overfitting,correct
Math_85_TBar_Patch_10214092_1097_cp857.diff,overfitting,correct
Chart_1_kPAR_Patch_5218733_834_cp286.diff,overfitting,correct
Math_33_Avatar_Patch_17658076_907.diff,overfitting,correct
Math_33_Avatar_Patch_18094623_917.diff,overfitting,correct
Math_33_Avatar_Patch_18531935_935.diff,overfitting,correct
Lang_59_jGenProg_patch_737040_5566.diff,overfitting,correct
Lang_59_jGenProg_patch_1421752_10608.diff,overfitting,correct
Chart_7_TBar_Patch_8844820_1085_cp787.diff,overfitting,correct
Math_79_TBar_Patch_1068439_284_cp125.diff,overfitting,correct
Chart_9_Nopol_patch_22560_9.diff,overfitting,correct
Chart_1_TBar_Patch_21180800_2731_cp1175.diff,overfitting,correct
Chart_1_Avatar_Patch_11384545_1573.diff,overfitting,correct
Lang_59_kPAR_Patch_426619_54_cp36.diff,overfitting,correct
Math_82_TBar_Patch_12903424_2445_cp1132.diff,overfitting,correct
Chart_1_Avatar_Patch_11428230_1575.diff,overfitting,correct
Chart_1_TBar_Patch_21215131_2734_cp1177.diff,overfitting,correct
Chart_7_TBar_Patch_81372_6_cp6.diff,overfitting,correct
Math_33_dynamoth_patch_252122_2.diff,overfitting,correct
Math_33_dynamoth_patch_4236218_14.diff,overfitting,correct
Chart_7_TBar_Patch_8866969_1087_cp789.diff,overfitting,correct
Math_49_jKali_patch_12000_48.diff,overfitting,correct
Math_85_TBar_Patch_9956436_1066_cp826.diff,overfitting,correct
Math_79_TBar_Patch_1076374_285_cp126.diff,overfitting,correct
Math_85_TBar_Patch_9254652_980_cp740.diff,overfitting,correct
Math_85_TBar_Patch_9554020_1018_cp778.diff,overfitting,correct
Math_58_dynamoth_patch_97068_8.diff,overfitting,correct
Math_85_TBar_Patch_9803410_1048_cp808.diff,overfitting,correct
Math_33_Avatar_Patch_18314585_930.diff,overfitting,correct
Math_85_jGenProg_patch_108000_464.diff,overfitting,correct
Math_33_Avatar_Patch_20636170_1028.diff,overfitting,correct
Chart_7_TBar_Patch_38176_2_cp2.diff,overfitting,correct
Math_63_TBar_Patch_434086_162_cp28.diff,overfitting,correct
Math_8_TBar_Patch_442274_12_cp5.diff,overfitting,correct
Lang_59_jGenProg_patch_1089407_8148.diff,overfitting,correct
Chart_1_kPAR_Patch_5369519_847_cp295.diff,overfitting,correct
Math_33_Avatar_Patch_17569856_905.diff,overfitting,correct
Lang_59_jGenProg_patch_34000_156.diff,overfitting,correct
Math_33_Avatar_Patch_20139818_986.diff,overfitting,correct
Chart_1_Avatar_Patch_11606570_1586.diff,overfitting,correct
Chart_17_Nopol_patch_16724_1.diff,overfitting,correct
Chart_25_Avatar_Patch_2363590_455.diff,overfitting,correct
Math_33_Avatar_Patch_19357588_964.diff,overfitting,correct
Lang_10_TBar_Patch_26388257_2834_cp1207.diff,overfitting,correct
Math_33_Avatar_Patch_18487889_934.diff,overfitting,correct
Math_33_Avatar_Patch_18137881_918.diff,overfitting,overfitting
Math_33_Avatar_Patch_17963739_914.diff,overfitting,correct
Math_85_TBar_Patch_9584929_1022_cp782.diff,overfitting,correct
Math_70_FixMiner_Patch_815149_342.diff,overfitting,correct
Math_8_TBar_Patch_930853_24_cp12.diff,overfitting,correct
Lang_10_Avatar_Patch_318206_116.diff,overfitting,overfitting
Math_58_dynamoth_patch_97058_3.diff,overfitting,correct
Math_33_Avatar_Patch_17614505_906.diff,overfitting,correct
Chart_25_Avatar_Patch_766480_91.diff,overfitting,correct
Math_41_dynamoth_patch_990745_131.diff,overfitting,correct
Chart_7_jMutRepair_patch_8000_32.diff,overfitting,correct
Math_33_Avatar_Patch_19143075_957.diff,overfitting,correct
Math_85_jMutRepair_patch_84000_100.diff,overfitting,correct
Math_2_TBar_Patch_6176765_146_cp120.diff,overfitting,correct
Math_58_dynamoth_patch_97056_2.diff,overfitting,correct
Math_33_Avatar_Patch_18619035_937.diff,overfitting,correct
Math_85_TBar_Patch_9443980_1004_cp764.diff,overfitting,correct
Math_58_dynamoth_patch_97053_1.diff,overfitting,correct
Math_82_TBar_Patch_12801666_2433_cp1120.diff,overfitting,correct
Math_82_TBar_Patch_12785376_2431_cp1118.diff,overfitting,correct
Math_85_TBar_Patch_9939835_1064_cp824.diff,overfitting,correct
Math_82_TBar_Patch_13983985_2590_cp1264.diff,overfitting,correct
Math_85_TBar_Patch_9538495_1016_cp776.diff,overfitting,correct
Chart_7_Avatar_Patch_86434_9.diff,overfitting,correct
Math_33_Avatar_Patch_18575445_936.diff,overfitting,correct
Lang_59_jGenProg_patch_72000_452.diff,overfitting,correct
Chart_25_Avatar_Patch_2253717_418.diff,overfitting,correct
Math_33_Avatar_Patch_18879243_943.diff,overfitting,correct
Math_6_TBar_Patch_211151_5_cp2.diff,overfitting,overfitting
Math_85_TBar_Patch_10159335_1090_cp850.diff,overfitting,correct
Math_33_dynamoth_patch_4236237_20.diff,overfitting,correct
Math_85_TBar_Patch_9025191_951_cp711.diff,overfitting,correct
Chart_25_jMutRepair_patch_3000_9.diff,overfitting,correct
Closure_126_Nopol_patch_84822_4.diff,overfitting,overfitting
Chart_7_TBar_Patch_105993_8_cp8.diff,overfitting,correct
Math_58_dynamoth_patch_120645_9.diff,overfitting,correct
Math_33_Avatar_Patch_18791914_941.diff,overfitting,correct
Chart_25_Avatar_Patch_2323425_429.diff,overfitting,correct
Closure_46_dynamoth_patch_1209108_2.diff,overfitting,correct
Lang_59_jGenProg_patch_1295686_9634.diff,overfitting,correct
Lang_59_jGenProg_patch_1116176_8312.diff,overfitting,correct
Chart_7_TBar_Patch_8902671_1090_cp792.diff,overfitting,correct
Math_33_Avatar_Patch_19484668_967.diff,overfitting,correct
Math_33_dynamoth_patch_252133_5.diff,overfitting,correct
Lang_55_dynamoth_patch_135417_3.diff,overfitting,correct
Math_85_TBar_Patch_10084524_1082_cp842.diff,overfitting,correct
Math_33_dynamoth_patch_252136_6.diff,overfitting,correct
Lang_59_jGenProg_patch_633035_4780.diff,overfitting,overfitting
Math_82_TBar_Patch_12670531_2417_cp1104.diff,overfitting,correct
Math_58_dynamoth_patch_132007_15.diff,overfitting,overfitting
Math_33_Avatar_Patch_18966020_945.diff,overfitting,correct
Math_33_Avatar_Patch_19570701_969.diff,overfitting,correct
Math_82_TBar_Patch_13885865_2578_cp1252.diff,overfitting,correct
Math_85_jGenProg_patch_5897000_7690.diff,overfitting,correct
Chart_15_TBar_Patch_1501916_247_cp127.diff,overfitting,correct
Math_33_dynamoth_patch_252138_7.diff,overfitting,correct
Math_33_dynamoth_patch_4236222_15.diff,overfitting,correct
Chart_1_jGenProg_patch_2065000_7748.diff,overfitting,correct
Chart_25_jGenProg_patch_2294000_4820.diff,overfitting,correct
Math_33_dynamoth_patch_4236226_16.diff,overfitting,correct
Math_85_TBar_Patch_18773_3_cp1.diff,overfitting,correct
Math_33_Avatar_Patch_18007210_915.diff,overfitting,correct
Math_69_Nopol_patch_16126_3.diff,overfitting,correct
Mockito_29_Avatar_Patch_643309_75.diff,overfitting,correct
Math_33_Avatar_Patch_18185554_926.diff,overfitting,correct
Math_33_Avatar_Patch_18357668_931.diff,overfitting,correct
Chart_13_TBar_Patch_6731471_904_cp457.diff,overfitting,correct
Math_88_jMutRepair_patch_26000_65.diff,overfitting,correct
Lang_57_FixMiner_Patch_107394_21.diff,overfitting,correct
Math_82_TBar_Patch_13869510_2576_cp1250.diff,overfitting,correct
Chart_7_TBar_Patch_8782809_1062_cp782.diff,overfitting,correct
Math_33_dynamoth_patch_252118_1.diff,overfitting,correct
Chart_13_jKali_patch_38000_121.diff,overfitting,correct
Math_33_Avatar_Patch_17833553_911.diff,overfitting,overfitting
Math_85_FixMiner_Patch_61483_7.diff,overfitting,correct
Chart_7_Avatar_Patch_3850336_660.diff,overfitting,correct
Math_58_dynamoth_patch_97063_5.diff,overfitting,correct
Math_33_dynamoth_patch_4236232_18.diff,overfitting,correct
Chart_1_dynamoth_patch_120645_1.diff,overfitting,correct
Math_85_TBar_Patch_9647746_1030_cp790.diff,overfitting,correct
Lang_59_jGenProg_patch_1047811_7828.diff,overfitting,correct
Closure_46_jGenProg_patch_4568000_10558.diff,overfitting,correct
Lang_63_kPAR_Patch_35024_1_cp1.diff,overfitting,correct
Chart_7_kPAR_Patch_2800171_379_cp193.diff,overfitting,correct
Lang_59_jGenProg_patch_432459_3432.diff,overfitting,correct
Math_85_TBar_Patch_9834491_1052_cp812.diff,overfitting,correct
Math_33_Avatar_Patch_19184115_958.diff,overfitting,correct
Mockito_29_TBar_Patch_926897_102_cp47.diff,overfitting,correct
Chart_7_kPAR_Patch_2772780_377_cp191.diff,overfitting,correct
Math_85_TBar_Patch_9270426_982_cp742.diff,overfitting,correct
Closure_129_jKali_patch_3000_4.diff,overfitting,correct
Chart_7_Avatar_Patch_3836423_659.diff,overfitting,correct
Math_8_TBar_Patch_581724_16_cp7.diff,overfitting,correct
Math_85_TBar_Patch_10037016_1076_cp836.diff,overfitting,correct
Math_85_TBar_Patch_9679675_1034_cp794.diff,overfitting,correct
Chart_13_Nopol_patch_38818_4.diff,overfitting,correct
Math_71_dynamoth_patch_414468_3.diff,overfitting,correct
Chart_7_TBar_Patch_6595602_823_cp583.diff,overfitting,correct
Math_85_TBar_Patch_9349697_992_cp752.diff,overfitting,correct
Lang_59_jGenProg_patch_554857_4312.diff,overfitting,correct
Math_85_TBar_Patch_10258671_1113_cp862.diff,overfitting,correct
Math_33_Avatar_Patch_18229397_927.diff,overfitting,correct
Math_33_dynamoth_patch_252146_10.diff,overfitting,correct
Math_58_dynamoth_patch_132005_14.diff,overfitting,overfitting
Math_85_TBar_Patch_9772202_1044_cp804.diff,overfitting,correct
Chart_7_TBar_Patch_8728457_1057_cp777.diff,overfitting,correct
Closure_129_dynamoth_patch_80439_1.diff,overfitting,correct
Lang_55_dynamoth_patch_135421_5.diff,overfitting,correct
Lang_55_Nopol_patch_84450_1.diff,overfitting,correct
Chart_7_kPAR_Patch_3801620_507_cp263.diff,overfitting,correct
Math_85_TBar_Patch_9973219_1068_cp828.diff,overfitting,correct
Math_33_kPAR_Patch_3877353_191_cp81.diff,overfitting,correct
Math_85_jGenProg_patch_6685000_8208.diff,overfitting,correct
Chart_7_kPAR_Patch_2701925_369_cp186.diff,overfitting,correct
Lang_57_FixMiner_Patch_118372_22.diff,overfitting,correct
Chart_1_TBar_Patch_21320997_2749_cp1183.diff,overfitting,correct
Math_85_TBar_Patch_9175723_970_cp730.diff,overfitting,correct
Lang_33_TBar_Patch_299663_49_cp30.diff,overfitting,correct
Chart_25_jGenProg_patch_36000_80.diff,overfitting,correct
Math_63_FixMiner_Patch_1730971_286.diff,overfitting,correct
Math_33_Avatar_Patch_17701919_908.diff,overfitting,correct
Math_85_TBar_Patch_9396626_998_cp758.diff,overfitting,correct
Chart_1_Avatar_Patch_11538576_1580.diff,overfitting,correct
Math_85_TBar_Patch_9631719_1028_cp788.diff,overfitting,correct
Math_33_Avatar_Patch_18660532_938.diff,overfitting,correct
Math_85_TBar_Patch_9302094_986_cp746.diff,overfitting,correct
Math_63_FixMiner_Patch_5542433_3350.diff,overfitting,correct
Lang_59_jGenProg_patch_541000_4258.diff,overfitting,correct
Chart_7_Avatar_Patch_3962648_695.diff,overfitting,correct
Math_33_dynamoth_patch_252144_9.diff,overfitting,correct
Math_85_TBar_Patch_9460482_1006_cp766.diff,overfitting,correct
Lang_57_Avatar_Patch_94070_11.diff,overfitting,correct
Mockito_29_Avatar_Patch_214053_26.diff,overfitting,correct
Math_85_TBar_Patch_9754867_1042_cp802.diff,overfitting,correct
Chart_1_dynamoth_patch_123972_3.diff,overfitting,correct
Math_33_Avatar_Patch_19528419_968.diff,overfitting,correct
Math_33_Avatar_Patch_18050422_916.diff,overfitting,correct
Math_58_dynamoth_patch_127805_12.diff,overfitting,correct
Math_85_TBar_Patch_10005808_1072_cp832.diff,overfitting,correct
Chart_7_Avatar_Patch_3976557_696.diff,overfitting,correct
Math_85_jMutRepair_patch_80000_99.diff,overfitting,correct
Math_33_dynamoth_patch_4236215_13.diff,overfitting,correct
Chart_7_TBar_Patch_127496_10_cp10.diff,overfitting,correct
Math_57_jMutRepair_patch_131000_23.diff,overfitting,correct
Math_33_Avatar_Patch_20592342_1026.diff,overfitting,correct
Closure_10_jMutRepair_patch_468000_294.diff,overfitting,correct
Math_82_TBar_Patch_13967574_2588_cp1262.diff,overfitting,correct
Chart_7_kPAR_Patch_3746722_503_cp259.diff,overfitting,correct
Chart_7_kPAR_Patch_2674157_367_cp184.diff,overfitting,correct
Math_33_Avatar_Patch_18270745_928.diff,overfitting,correct
Lang_57_FixMiner_Patch_84093_17.diff,overfitting,correct
Lang_55_jKali_patch_103137_21.diff,overfitting,correct
Lang_43_jGenProg_patch_76000_32.diff,overfitting,correct
Chart_1_TBar_Patch_21302926_2746_cp1182.diff,overfitting,correct
Chart_1_Avatar_Patch_11516788_1579.diff,overfitting,correct
Math_33_Avatar_Patch_18400005_932.diff,overfitting,correct
Closure_46_dynamoth_patch_649139_1.diff,overfitting,correct
Math_33_Avatar_Patch_19441356_966.diff,overfitting,correct
Math_33_Avatar_Patch_18748163_940.diff,overfitting,correct
Math_85_Nopol_patch_18172_1.diff,overfitting,correct
Math_33_Avatar_Patch_19269874_961.diff,overfitting,correct
Math_82_TBar_Patch_12384523_2382_cp1069.diff,overfitting,correct
Math_33_dynamoth_patch_4236208_11.diff,overfitting,correct
Math_49_Nopol_patch_112674_1.diff,overfitting,correct
Chart_7_TBar_Patch_6550157_816_cp579.diff,overfitting,correct
Math_33_Avatar_Patch_19613718_970.diff,overfitting,correct
Math_85_TBar_Patch_9881052_1058_cp818.diff,overfitting,correct
Chart_1_Avatar_Patch_11473047_1577.diff,overfitting,correct
Chart_13_FixMiner_Patch_5311251_654.diff,overfitting,correct
Lang_59_jGenProg_patch_1013184_7598.diff,overfitting,correct
Lang_59_jGenProg_patch_467770_3668.diff,overfitting,correct
Lang_59_jGenProg_patch_585261_4438.diff,overfitting,correct
Lang_59_jGenProg_patch_880178_6564.diff,overfitting,correct
Chart_4_repairllama-ir4_patch_8.diff,correct,correct
Chart_11_repairllama-ir4_patch_8.diff,correct,correct
Chart_7_repairllama-ir4_patch_9.diff,correct,correct
Chart_26_repairllama-ir4_patch_3.diff,correct,correct
Lang_59_repairllama-ir4_patch_2.diff,correct,correct
Math_11_repairllama-ir4_patch_0.diff,correct,correct
Math_75_repairllama-ir4_patch_2.diff,correct,correct
Lang_33_repairllama-ir4_patch_1.diff,correct,correct
Chart_26_repairllama-ir4_patch_2.diff,correct,correct
Lang_43_repairllama-ir4_patch_0.diff,correct,correct
Closure_13_repairllama-ir4_patch_0.diff,correct,correct
Math_70_repairllama-ir4_patch_8.diff,correct,correct
Closure_10_repairllama-ir4_patch_1.diff,correct,correct
Chart_4_repairllama-ir4_patch_9.diff,correct,correct
Closure_86_repairllama-ir4_patch_1.diff,correct,correct
Math_59_repairllama-ir4_patch_2.diff,correct,correct
Chart_26_repairllama-ir4_patch_5.diff,correct,correct
Math_30_repairllama-ir4_patch_1.diff,correct,correct
Closure_73_repairllama-ir4_patch_0.diff,correct,correct
Chart_26_repairllama-ir4_patch_9.diff,correct,correct
Closure_115_repairllama-ir4_patch_1.diff,correct,correct
Mockito_29_repairllama-ir4_patch_4.diff,correct,correct
Lang_43_repairllama-ir4_patch_6.diff,correct,correct
Closure_13_repairllama-ir4_patch_6.diff,correct,correct
Math_95_repairllama-ir4_patch_2.diff,correct,correct
Lang_51_repairllama-ir4_patch_2.diff,correct,correct
Chart_26_repairllama-ir4_patch_4.diff,correct,correct
Chart_11_repairllama-ir4_patch_0.diff,correct,correct
Chart_7_repairllama-ir4_patch_1.diff,correct,correct
Math_70_repairllama-ir4_patch_1.diff,correct,correct
Chart_4_repairllama-ir4_patch_0.diff,correct,correct
Math_57_repairllama-ir4_patch_0.diff,correct,correct
Math_50_repairllama-ir4_patch_4.diff,correct,correct
Math_2_repairllama-ir4_patch_3.diff,correct,correct
Math_80_repairllama-ir4_patch_0.diff,correct,correct
Math_8_repairllama-ir4_patch_6.diff,correct,correct
Chart_7_repairllama-ir4_patch_0.diff,correct,correct
Math_58_repairllama-ir4_patch_5.diff,correct,correct
Lang_45_repairllama-ir4_patch_4.diff,correct,overfitting
Closure_13_repairllama-ir4_patch_3.diff,correct,correct
Math_53_repairllama-ir4_patch_3.diff,correct,correct
Chart_26_repairllama-ir4_patch_0.diff,correct,correct
Math_69_repairllama-ir4_patch_8.diff,correct,correct
Mockito_38_repairllama-ir4_patch_4.diff,correct,correct
Chart_11_repairllama-ir4_patch_7.diff,correct,correct
Closure_86_repairllama-ir4_patch_0.diff,overfitting,correct
Math_59_repairllama-ir4_patch_8.diff,overfitting,correct
Math_101_repairllama-ir4_patch_0.diff,overfitting,correct
Lang_51_repairllama-ir4_patch_9.diff,overfitting,correct
Mockito_29_repairllama-ir4_patch_2.diff,overfitting,correct
Chart_13_repairllama-ir4_patch_6.diff,overfitting,correct
Lang_43_repairllama-ir4_patch_1.diff,overfitting,correct
Math_34_repairllama-ir4_patch_2.diff,overfitting,correct
Math_57_repairllama-ir4_patch_4.diff,overfitting,correct
Lang_33_repairllama-ir4_patch_0.diff,overfitting,correct
Lang_51_repairllama-ir4_patch_5.diff,overfitting,correct
Math_11_repairllama-ir4_patch_1.diff,overfitting,correct
Time_7_repairllama-ir4_patch_1.diff,overfitting,correct
Math_28_repairllama-ir4_patch_7.diff,overfitting,overfitting
Chart_4_repairllama-ir4_patch_5.diff,overfitting,correct
Math_57_repairllama-ir4_patch_5.diff,overfitting,correct
Math_50_repairllama-ir4_patch_1.diff,overfitting,correct
Math_34_repairllama-ir4_patch_3.diff,overfitting,correct
Chart_7_repairllama-ir4_patch_8.diff,overfitting,correct
Chart_4_repairllama-ir4_patch_2.diff,overfitting,correct
