Bug,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness
Math-88 (0:2),0.00,0.00,0.00,0.00,0.00
Math-89 (3:0),1.00,1.00,1.00,0.00,1.00
Math-95 (0:4),0.00,0.00,0.00,0.00,0.00
Math-96 (0:1),0.00,0.00,0.00,0.00,0.00
Math-97 (0:1),0.00,0.00,0.00,0.00,0.00
Math-101 (0:1),0.00,0.00,0.00,0.00,0.00
Math-105 (0:1),0.00,0.00,0.00,0.00,0.00
Mockito-29 (2:5),0.29,0.44,0.44,0.00,0.00
Mockito-38 (4:0),0.86,0.86,1.00,0.00,0.00
Time-7 (4:4),0.60,0.67,0.00,1.00,0.80
Time-11 (0:1),0.00,0.00,0.00,0.00,0.00
Overall,0.24,0.32,0.24,0.19,0.13
